Date,Open,High,Low,Close,Adj Close,Volume
20/03/2014,30.028778,30.270521,29.913914,29.95896,29.95896,67320612
21/03/2014,30.187939,30.271021,29.590841,29.605606,29.605606,128211660
24/03/2014,29.634384,29.652151,28.677427,28.977226,28.977226,121362516
25/03/2014,29.179178,29.275274,28.703705,28.996998,28.996998,96311592
26/03/2014,29.079329,29.318569,28.315817,28.327578,28.327578,103096800
27/03/2014,28.299549,28.326826,27.58008,27.884886,27.884886,152735112
28/03/2014,28.003002,28.358109,27.972221,28.031782,28.031782,90265644
31/03/2014,28.288288,28.403402,27.849098,27.89064,27.89064,77614308
01/04/2014,28.034784,28.465965,27.977978,28.400652,28.400652,87152760
02/04/2014,28.576077,28.648649,28.128128,28.405907,28.405907,83360556
03/04/2014,28.6695,29.415001,28.300501,28.575001,28.575001,80366000
04/04/2014,28.9275,28.986,27.224501,27.262501,27.262501,107274000
07/04/2014,27.2395,27.4925,26.526501,27.0315,27.0315,79232000
08/04/2014,27.252501,27.993999,27.235001,27.8755,27.8755,69650000
09/04/2014,28.292,28.389999,27.768999,28.351999,28.351999,60632000
10/04/2014,28.4,28.4105,27.275,27.334499,27.334499,65890000
11/04/2014,26.896999,27.379499,26.67,26.888,26.888,63494000
14/04/2014,27.183001,27.650999,27.025999,27.26,27.26,50824000
15/04/2014,27.549999,27.644501,26.532,27.434999,27.434999,79956000
16/04/2014,27.885,28.200001,27.655001,28.195,28.195,91644000
17/04/2014,27.816,27.85,26.969999,27.167,27.167,112294000
21/04/2014,27.200001,27.200001,26.700001,26.9685,26.9685,48502000
22/04/2014,26.799999,27.4,26.799999,27.275,27.275,46622000
23/04/2014,27.1835,27.24,26.4065,26.8755,26.8755,39114000
24/04/2014,27.084499,27.125,26.549999,26.722,26.722,41348000
25/04/2014,26.613001,26.693001,26.125,26.155001,26.155001,47400000
28/04/2014,26.290001,26.295,25.549999,26.149,26.149,75056000
29/04/2014,26.1945,26.888,26.15,26.8165,26.8165,50704000
30/04/2014,26.756001,26.816999,26.4545,26.743999,26.743999,40770000
01/05/2014,26.7125,26.995501,26.643,26.9265,26.9265,40086000
02/05/2014,27.072001,27.120001,26.6635,26.693501,26.693501,35616000
05/05/2014,26.511999,26.785999,26.379,26.7665,26.7665,24568000
06/05/2014,26.6705,26.727501,26.113001,26.1285,26.1285,36700000
07/05/2014,26.1625,26.2215,25.554501,25.9,25.9,61486000
08/05/2014,25.785999,26.3675,25.723,26.008499,26.008499,49040000
09/05/2014,25.932501,26.3675,25.714001,26.330999,26.330999,45224000
12/05/2014,26.591999,26.9375,26.3755,26.921499,26.921499,38968000
13/05/2014,26.979,27.199499,26.895,27.077,27.077,40240000
14/05/2014,27.091,27.091,26.6555,26.720501,26.720501,25618000
15/05/2014,26.657,26.700001,26.265499,26.455999,26.455999,36658000
16/05/2014,26.48,26.542,26.178499,26.415001,26.415001,38154000
19/05/2014,26.444,26.967501,26.283001,26.9415,26.9415,39530000
20/05/2014,27,27.317499,26.828501,27.019501,27.019501,48506000
21/05/2014,27.145,27.487499,27.105499,27.485001,27.485001,31294000
22/05/2014,27.610001,27.898001,27.549999,27.772499,27.772499,42994000
23/05/2014,27.9065,28.25,27.7085,28.190001,28.190001,53450000
27/05/2014,28.389,28.7435,28.2075,28.7435,28.7435,43716000
28/05/2014,28.7285,28.882999,28.497499,28.522499,28.522499,31632000
29/05/2014,28.6695,28.674,28.422501,28.528,28.528,28222000
30/05/2014,28.582001,28.629,28.289499,28.5825,28.5825,37434000
02/06/2014,28.487499,28.5205,27.834999,28.216999,28.216999,33210000
03/06/2014,28.045,28.120001,27.626499,27.7255,27.7255,40626000
04/06/2014,27.576,27.929001,27.427999,27.688,27.688,34582000
05/06/2014,27.855499,28.25,27.752501,28.2465,28.2465,35868000
06/06/2014,28.408001,28.440001,27.979,28.3015,28.3015,34804000
09/06/2014,28.3375,28.6,28.261,28.536501,28.536501,30594000
10/06/2014,28.438999,28.6,28.306499,28.415001,28.415001,29676000
11/06/2014,28.296,28.4485,28.184,28.375,28.375,22580000
12/06/2014,28.35,28.35,27.8575,27.975,27.975,30930000
13/06/2014,28.004,28.032499,27.686001,28.0175,28.0175,27066000
16/06/2014,27.862499,27.8995,27.5,27.615,27.615,39436000
17/06/2014,27.618,27.687,27.373501,27.531,27.531,29552000
18/06/2014,27.639999,28.07,27.579,28.033001,28.033001,41212000
19/06/2014,28.057501,28.25,27.8335,28.2495,28.2495,52548000
20/06/2014,28.3225,28.338499,27.9685,28.326,28.326,63212000
23/06/2014,28.217501,28.722,28.174999,28.7145,28.7145,34456000
24/06/2014,28.711,29.112499,28.458,28.627001,28.627001,56886000
25/06/2014,28.6775,29.365,28.663,29.296499,29.296499,42294000
26/06/2014,29.465,29.48,28.98,29.238501,29.238501,40248000
27/06/2014,29.272499,29.393999,29.131001,29.2845,29.2845,40426000
30/06/2014,29.337999,29.3855,29.164499,29.2335,29.2335,29578000
01/07/2014,29.3825,29.683001,29.314501,29.574499,29.574499,32864000
02/07/2014,29.613001,29.7075,29.4555,29.539,29.539,23916000
03/07/2014,29.584999,29.7125,29.450001,29.653999,29.653999,17978000
07/07/2014,29.675501,29.782499,29.396999,29.538,29.538,26734000
08/07/2014,29.318501,29.3985,28.700001,28.92,28.92,42504000
09/07/2014,28.9475,29.205,28.85,29.167999,29.167999,27456000
10/07/2014,28.65,29.262501,28.605,29.002001,29.002001,28724000
11/07/2014,29.049999,29.411501,29.028999,29.3325,29.3325,30232000
14/07/2014,29.530001,29.743,29.334499,29.712999,29.712999,39032000
15/07/2014,29.7575,29.764999,29.265499,29.653,29.653,33476000
16/07/2014,29.8445,29.85,29.512501,29.531,29.531,28816000
17/07/2014,29.4485,29.475,28.842501,29.041,29.041,58706000
18/07/2014,30.150499,30.334999,29.546,30.255501,30.255501,97432000
21/07/2014,30.067499,30.208,29.7225,29.922001,29.922001,44758000
22/07/2014,29.985001,30.4445,29.962999,30.178499,30.178499,37632000
23/07/2014,30.102501,30.352501,30.067499,30.259501,30.259501,22120000
24/07/2014,30.276501,30.445499,30.049999,30.150499,30.150499,27100000
25/07/2014,29.9625,30.049999,29.7875,29.903999,29.903999,27200000
28/07/2014,29.887501,30.055,29.629499,29.951,29.951,27162000
29/07/2014,29.885,29.9245,29.6085,29.6975,29.6975,27332000
30/07/2014,29.790501,29.922501,29.635,29.771999,29.771999,24302000
31/07/2014,29.448,29.599501,28.884001,28.977501,28.977501,46190000
01/08/2014,28.9275,29.171499,28.514999,28.68,28.68,44266000
04/08/2014,28.8255,29.191,28.613001,29.113501,29.113501,30388000
05/08/2014,28.969,29.01,28.515499,28.657,28.657,32876000
06/08/2014,28.475,28.931999,28.372499,28.724501,28.724501,26456000
07/08/2014,28.8025,28.915501,28.4715,28.5905,28.5905,23260000
08/08/2014,28.601,28.978001,28.451,28.896999,28.896999,29866000
11/08/2014,28.950001,28.984501,28.764999,28.862499,28.862499,24068000
12/08/2014,28.75,28.795,28.495501,28.606001,28.606001,27890000
13/08/2014,28.8225,29.306499,28.76,29.228001,29.228001,37988000
14/08/2014,29.334499,29.389999,29.046,29.2325,29.2325,25458000
15/08/2014,29.375,29.473499,29.038,29.185499,29.185499,34468000
18/08/2014,29.355,29.752501,29.327499,29.635,29.635,29320000
19/08/2014,29.779499,29.890499,29.722,29.855499,29.855499,20864000
20/08/2014,29.8475,29.849501,29.65,29.7705,29.7705,19346000
21/08/2014,29.745001,29.762501,29.555,29.621,29.621,22640000
22/08/2014,29.6635,29.7495,29.49,29.627001,29.627001,17544000
25/08/2014,29.738501,29.778999,29.462999,29.5285,29.5285,25912000
26/08/2014,29.6,29.602501,29.372499,29.406,29.406,29434000
27/08/2014,29.390499,29.4685,29.045,29.15,29.15,27292000
28/08/2014,29.000999,29.2355,28.893999,29.016001,29.016001,28116000
29/08/2014,29.1175,29.145,28.912001,29.118,29.118,24122000
02/09/2014,29.147499,29.465,29.120001,29.431499,29.431499,31660000
03/09/2014,29.5865,29.724501,29.325001,29.476,29.476,31580000
04/09/2014,29.606501,29.9,29.530001,29.657,29.657,32616000
05/09/2014,29.7565,29.924999,29.6775,29.889,29.889,35982000
08/09/2014,29.957001,30.176001,29.900999,30.081499,30.081499,31984000
09/09/2014,30.0135,30.030001,29.524,29.598499,29.598499,31424000
10/09/2014,29.587,29.686001,29.357,29.671,29.671,23202000
11/09/2014,29.5,29.5975,29.302,29.5555,29.5555,30028000
12/09/2014,29.519501,29.573999,29.164,29.245001,29.245001,37030000
15/09/2014,29.112,29.195999,28.8505,29.082001,29.082001,30908000
16/09/2014,29.047501,29.5075,29.047501,29.438999,29.438999,31592000
